date,revenue,type,subtype
2010-07-01,1107039.3,Commuter Revenue,NA
2010-08-01,11147861.860000001,Net Toll Revenue,NA
2010-08-01,-159058.27000000002,Volume Discount,NA
2010-08-01,141972.05,Commuter Revenue,NA
2010-09-01,8884428.739999998,Net Toll Revenue,NA
2010-09-01,-149648.01,Volume Discount,NA
2010-09-01,50283.350000000006,Commuter Revenue,NA
2010-10-01,8644799.77,Net Toll Revenue,NA
2010-10-01,-160983.33,Volume Discount,NA
2010-10-01,1113330.6700000002,Commuter Revenue,NA
2010-11-01,7542908.04,Net Toll Revenue,NA
2010-11-01,-149588.91,Volume Discount,NA
2010-11-01,138783.9,Commuter Revenue,NA
2010-12-01,7263909.38,Net Toll Revenue,NA
2010-12-01,-165167.53,Volume Discount,NA
2010-12-01,24770.21,Commuter Revenue,NA
2011-01-01,6486412.619999999,Net Toll Revenue,NA
2011-01-01,-155045.52,Volume Discount,NA
2011-01-01,1158180.1700000002,Commuter Revenue,NA
2011-02-01,6217765.14,Net Toll Revenue,NA
2011-02-01,-142931.11000000002,Volume Discount,NA
2011-02-01,138455.9,Commuter Revenue,NA
2011-03-01,7367625.26,Net Toll Revenue,NA
2011-03-01,-154701.84999999998,Volume Discount,NA
2011-03-01,32464.07,Commuter Revenue,NA
2011-04-01,7394739.33,Net Toll Revenue,NA
2011-04-01,-136024.46,Volume Discount,NA
2011-04-01,1107507.8800000001,Commuter Revenue,NA
2011-05-01,8285306.859999999,Net Toll Revenue,NA
2011-05-01,-163150.77000000002,Volume Discount,NA
2011-05-01,156598.75,Commuter Revenue,NA
2011-06-01,8835010.75,Net Toll Revenue,NA
2011-06-01,-170395.34999999998,Volume Discount,NA
2011-06-01,42751.67,Commuter Revenue,NA
2011-07-01,10684886.629999999,Net Toll Revenue,NA
2011-07-01,-162869.97,Volume Discount,NA
2011-07-01,1094382.51,Commuter Revenue,NA
2011-08-01,10848537.83,Net Toll Revenue,NA
2011-08-01,-169885.58,Volume Discount,NA
2011-08-01,170887.5,Commuter Revenue,NA
2011-09-01,8906082.59,Net Toll Revenue,NA
2011-09-01,-138362.2,Volume Discount,NA
2011-09-01,50716.119999999995,Commuter Revenue,NA
2011-10-01,8369504.88,Net Toll Revenue,NA
2011-10-01,-156402.93,Volume Discount,NA
2011-10-01,1108374.1,Commuter Revenue,NA
2011-11-01,7510933.01,Net Toll Revenue,NA
2011-11-01,-146743.49,Volume Discount,NA
2011-11-01,149158.2,Commuter Revenue,NA
2011-12-01,7331203.659999999,Net Toll Revenue,NA
2011-12-01,-151140.29,Volume Discount,NA
2011-12-01,25141.43,Commuter Revenue,NA
2012-01-01,6554032.78,Net Toll Revenue,NA
2012-01-01,-136595.55,Volume Discount,Business
2012-01-01,434555,Commuter Revenue,NA
2012-02-01,6632328.42,Net Toll Revenue,NA
2012-02-01,-129509.43999999999,Volume Discount,Business
2012-02-01,436037.49000000005,Commuter Revenue,NA
2012-03-01,7185806.52,Net Toll Revenue,NA
2012-03-01,-153642.5,Volume Discount,Business
2012-03-01,447470.93000000005,Commuter Revenue,NA
2012-04-01,7431065.2700000005,Net Toll Revenue,NA
2012-04-01,-140834.41999999998,Volume Discount,Business
2012-04-01,439845.55,Commuter Revenue,NA
2012-05-01,8415593.78,Net Toll Revenue,NA
2012-05-01,-155965.49,Volume Discount,Business
2012-05-01,436728.27,Commuter Revenue,NA
2012-06-01,8930925.83,Net Toll Revenue,NA
2012-06-01,-142785.18,Volume Discount,Business
2012-06-01,446977.83,Commuter Revenue,NA
2012-07-01,10561002.229999999,Net Toll Revenue,NA
2012-07-01,-151031.47,Volume Discount,Business
2012-07-01,439752.17,Commuter Revenue,NA
2012-08-01,11116350.05,Net Toll Revenue,NA
2012-08-01,-156051.97,Volume Discount,Business
2012-08-01,431155.97000000003,Commuter Revenue,NA
2012-09-01,8572714.07,Net Toll Revenue,NA
2012-09-01,-121914.75,Volume Discount,Business
2012-09-01,430973.62,Commuter Revenue,NA
2012-10-01,8280815.37,Net Toll Revenue,NA
2012-10-01,-152924.29,Volume Discount,Business
2012-10-01,430384.11,Commuter Revenue,NA
2012-11-01,9982165.54,Net Toll Revenue,NA
2012-11-01,-164440.1,Volume Discount,Business
2012-11-01,-482349.11,Volume Discount,Personal
2012-11-01,0,Commuter Revenue,NA
2012-12-01,9155771.97,Net Toll Revenue,NA
2012-12-01,-145972.29,Volume Discount,Business
2012-12-01,-442208.76,Volume Discount,Personal
2012-12-01,0,Commuter Revenue,NA
2013-01-01,9007519.82,Net Toll Revenue,NA
2013-01-01,-170953.53,Volume Discount,Business
2013-01-01,-530016.91,Volume Discount,Personal
2013-01-01,0,Commuter Revenue,NA
2013-02-01,7923006.9,Net Toll Revenue,NA
2013-02-01,-143177.41,Volume Discount,Business
2013-02-01,-394963.37,Volume Discount,Personal
2013-02-01,0,Commuter Revenue,NA
2013-03-01,9559173.55,Net Toll Revenue,NA
2013-03-01,-168082.87,Volume Discount,Business
2013-03-01,-538153.13,Volume Discount,Personal
2013-03-01,0,Commuter Revenue,NA
2013-04-01,9939385.4,Net Toll Revenue,NA
2013-04-01,-187743.41999999998,Volume Discount,Business
2013-04-01,-550356.7699999999,Volume Discount,Personal
2013-04-01,0,Commuter Revenue,NA
2013-05-01,11362970.9,Net Toll Revenue,NA
2013-05-01,-198979.04,Volume Discount,Business
2013-05-01,-596365.73,Volume Discount,Personal
