Vehicle,date,transactions
Six or more axle vehicles includes double-bottoms,2011-05-01,50554
Six or more axle vehicles includes double-bottoms,2011-06-01,51092
Six or more axle vehicles includes double-bottoms,2011-07-01,46971
Six or more axle vehicles includes double-bottoms,2011-08-01,52108
Six or more axle vehicles includes double-bottoms,2011-09-01,49471
Six or more axle vehicles includes double-bottoms,2011-10-01,48154
Six or more axle vehicles includes double-bottoms,2011-11-01,46231
Six or more axle vehicles includes double-bottoms,2011-12-01,45555
Six or more axle vehicles includes double-bottoms,2012-01-01,42907
Six or more axle vehicles includes double-bottoms,2012-02-01,44443
Six or more axle vehicles includes double-bottoms,2012-03-01,49257
Six or more axle vehicles includes double-bottoms,2012-04-01,48568
Six or more axle vehicles includes double-bottoms,2012-05-01,51626
Six or more axle vehicles includes double-bottoms,2012-06-01,46314
Six or more axle vehicles includes double-bottoms,2012-07-01,46829
Six or more axle vehicles includes double-bottoms,2012-08-01,49528
Six or more axle vehicles includes double-bottoms,2012-09-01,43606
Six or more axle vehicles includes double-bottoms,2012-10-01,48110
Six or more axle vehicles includes double-bottoms,2012-11-01,44791
Six or more axle vehicles includes double-bottoms,2012-12-01,40552
Six or more axle vehicles includes double-bottoms,2013-01-01,48369
Six or more axle vehicles includes double-bottoms,2013-02-01,39433
Six or more axle vehicles includes double-bottoms,2013-03-01,41793
Six or more axle vehicles includes double-bottoms,2013-04-01,52469
Six or more axle vehicles includes double-bottoms,2013-05-01,54780
Six or more axle vehicles includes double-bottoms,2013-06-01,46450
Six or more axle vehicles includes double-bottoms,2013-07-01,48251
Six or more axle vehicles includes double-bottoms,2013-08-01,49710
Six or more axle vehicles includes double-bottoms,2013-09-01,45731
Six or more axle vehicles includes double-bottoms,2013-10-01,51179
Six or more axle vehicles includes double-bottoms,2013-11-01,42576
Six or more axle vehicles includes double-bottoms,2013-12-01,43486
Six or more axle vehicles includes double-bottoms,2014-01-01,45801
Six or more axle vehicles includes double-bottoms,2014-02-01,39455
Six or more axle vehicles includes double-bottoms,2014-03-01,43971
Six or more axle vehicles includes double-bottoms,2014-04-01,47170
Six or more axle vehicles includes double-bottoms,2014-05-01,50014
Six or more axle vehicles includes double-bottoms,2014-06-01,50192
Six or more axle vehicles includes double-bottoms,2014-07-01,50691
Six or more axle vehicles includes double-bottoms,2014-08-01,48754
Six or more axle vehicles includes double-bottoms,2014-09-01,49040
Six or more axle vehicles includes double-bottoms,2014-10-01,50980
Six or more axle vehicles includes double-bottoms,2014-11-01,40742
Six or more axle vehicles includes double-bottoms,2014-12-01,43679
Six or more axle vehicles includes double-bottoms,2015-01-01,40876
Six or more axle vehicles includes double-bottoms,2015-02-01,39212
Six or more axle vehicles includes double-bottoms,2015-03-01,44025
Six or more axle vehicles includes double-bottoms,2015-04-01,46214
Six or more axle vehicles includes double-bottoms,2015-05-01,47930
Six or more axle vehicles includes double-bottoms,2015-06-01,50258
Six or more axle vehicles includes double-bottoms,2015-07-01,50984
Six or more axle vehicles includes double-bottoms,2015-08-01,47678
Six or more axle vehicles includes double-bottoms,2015-09-01,47026
Six or more axle vehicles includes double-bottoms,2015-10-01,49459
Six or more axle vehicles includes double-bottoms,2015-11-01,44239
Six or more axle vehicles includes double-bottoms,2015-12-01,45487
Six or more axle vehicles includes double-bottoms,2016-01-01,43212
Six or more axle vehicles includes double-bottoms,2016-02-01,40799
Six or more axle vehicles includes double-bottoms,2016-03-01,47654
Six or more axle vehicles includes double-bottoms,2016-04-01,47859
Six or more axle vehicles includes double-bottoms,2016-05-01,50999
Six or more axle vehicles includes double-bottoms,2016-06-01,54279
Six or more axle vehicles includes double-bottoms,2016-07-01,49212
Six or more axle vehicles includes double-bottoms,2016-08-01,54495
Six or more axle vehicles includes double-bottoms,2016-09-01,54060
Six or more axle vehicles includes double-bottoms,2016-10-01,55050
Six or more axle vehicles includes double-bottoms,2016-11-01,52560
Six or more axle vehicles includes double-bottoms,2016-12-01,52013
Six or more axle vehicles includes double-bottoms,2017-01-01,50971
Six or more axle vehicles includes double-bottoms,2017-02-01,43122
Six or more axle vehicles includes double-bottoms,2017-03-01,51129
Six or more axle vehicles includes double-bottoms,2017-04-01,51529
Six or more axle vehicles includes double-bottoms,2017-05-01,60201
Six or more axle vehicles includes double-bottoms,2017-06-01,60342
Six or more axle vehicles includes double-bottoms,2017-07-01,54424
Six or more axle vehicles includes double-bottoms,2017-08-01,59536
Six or more axle vehicles includes double-bottoms,2017-09-01,54157
Six or more axle vehicles includes double-bottoms,2017-10-01,56709
Six or more axle vehicles includes double-bottoms,2017-11-01,55325
Six or more axle vehicles includes double-bottoms,2017-12-01,52589
Six or more axle vehicles includes double-bottoms,2018-01-01,54287
Six or more axle vehicles includes double-bottoms,2018-02-01,48564
Six or more axle vehicles includes double-bottoms,2018-03-01,51160
Six or more axle vehicles includes double-bottoms,2018-04-01,54121
Six or more axle vehicles includes double-bottoms,2018-05-01,61287
Six or more axle vehicles includes double-bottoms,2018-06-01,59039
Six or more axle vehicles includes double-bottoms,2018-07-01,55557
Six or more axle vehicles includes double-bottoms,2018-08-01,59026
Six or more axle vehicles includes double-bottoms,2018-09-01,51654
Six or more axle vehicles includes double-bottoms,2018-10-01,56945
Six or more axle vehicles includes double-bottoms,2018-11-01,51640
Six or more axle vehicles includes double-bottoms,2018-12-01,52078
Six or more axle vehicles includes double-bottoms,2019-01-01,53295
Six or more axle vehicles includes double-bottoms,2019-02-01,47089
Six or more axle vehicles includes double-bottoms,2019-03-01,53323
Six or more axle vehicles includes double-bottoms,2019-04-01,56130
Six or more axle vehicles includes double-bottoms,2019-05-01,60783
Six or more axle vehicles includes double-bottoms,2019-06-01,56323
Six or more axle vehicles includes double-bottoms,2019-07-01,58965
Six or more axle vehicles includes double-bottoms,2019-08-01,61995
Six or more axle vehicles includes double-bottoms,2019-09-01,56482
Six or more axle vehicles includes double-bottoms,2019-10-01,62201
Six or more axle vehicles includes double-bottoms,2019-11-01,52252
Six or more axle vehicles includes double-bottoms,2019-12-01,49208
Six or more axle vehicles includes double-bottoms,2020-01-01,53439
Six or more axle vehicles includes double-bottoms,2020-02-01,47683
